major_name,cluster,cluster_label
Công nghệ Kỹ thuật nhiệt (đào tạo bằng tiếng Nhật),0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật nhiệt (đào tạo bằng tiếng Việt),0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật xây dựng,0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật ô tô,0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật ô tô (Chuyên ngành: Công nghệ ô tô điện và ô tô lai),0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật ô tô * (đào tạo bằng tiếng Anh),0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật ô tô * (đào tạo bằng tiếng Nhật),0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật ô tô * (đào tạo bằng tiếng Việt),0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật ô tô * (đào tạo tại phân hiệu Bình Phước),0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật Điện tử - Viễn thông,0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật Điện tử - Viễn thông (IC Design),0,Ngành Cạnh tranh Cao
"Công nghệ Kỹ thuật Điện, điện tử",0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật điều khiển và tự động hóa,0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật điều khiển và tự động hóa (đào tạo bằng tiếng Anh),0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật điều khiển và tự động hóa (đào tạo bằng tiếng Việt),0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật điều khiển và tự động hóa (đào tạo tại phân hiệu Bình Phước),0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật điện tử - viễn thông (đào tạo bằng tiếng Anh),0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật điện tử - viễn thông (đào tạo bằng tiếng Nhật),0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật điện tử - viễn thông (đào tạo bằng tiếng Việt),0,Ngành Cạnh tranh Cao
"Công nghệ Kỹ thuật điện, điện tử",0,Ngành Cạnh tranh Cao
"Công nghệ Kỹ thuật điện, điện tử (đào tạo bằng tiếng Anh)",0,Ngành Cạnh tranh Cao
"Công nghệ Kỹ thuật điện, điện tử (đào tạo bằng tiếng Việt)",0,Ngành Cạnh tranh Cao
"Công nghệ Kỹ thuật điện, điện tử (đào tạo tại phân hiệu Bình Phước)",0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật điện; điện tử,0,Ngành Cạnh tranh Cao
Công nghệ Logistics,1,Ngành Cạnh tranh Khá
Công nghệ Marketing,0,Ngành Cạnh tranh Cao
Công nghệ Sinh học,0,Ngành Cạnh tranh Cao
Công nghệ Sinh học (CT TCTA),0,Ngành Cạnh tranh Cao
Công nghệ Sợi Dệt,0,Ngành Cạnh tranh Cao
Công nghệ Thông tin,0,Ngành Cạnh tranh Cao
Công nghệ Thông tin (dạy bằng tiếng Anh),0,Ngành Cạnh tranh Cao
Công nghệ Thực phẩm và sức khỏe – EFTH,0,Ngành Cạnh tranh Cao
Công nghệ Vật liệu,0,Ngành Cạnh tranh Cao
Công nghệ bán dẫn,0,Ngành Cạnh tranh Cao
Công nghệ bán dẫn (Liên kết Hàn Quốc),0,Ngành Cạnh tranh Cao
Công nghệ bán dẫn (Liên kết Đài Loan),0,Ngành Cạnh tranh Cao
Công nghệ chế biến lâm sản,0,Ngành Cạnh tranh Cao
Công nghệ chế biến thuỷ sản (02 chuyên ngành: Công nghệ chế biến thủy sản; Công nghệ sau thu hoạch),0,Ngành Cạnh tranh Cao
Công nghệ chế biến thuỷ sản (Chương trình Minh Phú - NTU),0,Ngành Cạnh tranh Cao
Công nghệ chế biến thuỷ sản (chương trình Hải Vương - NTU),0,Ngành Cạnh tranh Cao
Công nghệ chế biến thủy sản,0,Ngành Cạnh tranh Cao
Công nghệ chế tạo máy,1,Ngành Cạnh tranh Khá
Công nghệ chế tạo máy (CT tăng cường TA),0,Ngành Cạnh tranh Cao
"Công nghệ chế tạo máy (Công nghệ sản xuất tiên tiến, tự động hóa thiết kế cơ khí)",0,Ngành Cạnh tranh Cao
Công nghệ chế tạo máy (tăng cường tiếng Nhật; định hướng làm việc tại Nhật Bản),0,Ngành Cạnh tranh Cao
Công nghệ chế tạo máy * (đào tạo bằng tiếng Anh),0,Ngành Cạnh tranh Cao
Công nghệ chế tạo máy * (đào tạo bằng tiếng Nhật),0,Ngành Cạnh tranh Cao
Công nghệ chế tạo máy * (đào tạo bằng tiếng Việt),0,Ngành Cạnh tranh Cao
Công nghệ cơ điện công trình (Chuyên ngành thuộc ngành Kỹ thuật cơ sở hạ tầng),0,Ngành Cạnh tranh Cao
Công nghệ dầu khí và khai thác dầu,0,Ngành Cạnh tranh Cao
"Công nghệ dệt, may",0,Ngành Cạnh tranh Cao
"Công nghệ dệt, may (CS Hà Nội)",0,Ngành Cạnh tranh Cao
"Công nghệ dệt, may (CS Nam Định)",0,Ngành Cạnh tranh Cao
Công nghệ dựng phim,0,Ngành Cạnh tranh Cao
Công nghệ game (Chuyên ngành thuộc ngành Công nghệ thông tin),0,Ngành Cạnh tranh Cao
Công nghệ giáo dục,1,Ngành Cạnh tranh Khá
Công nghệ hàng không vũ trụ,0,Ngành Cạnh tranh Cao
Công nghệ hóa học gồm 03 chuyên ngành: Công nghệ kỹ thuật hóa học; Kỹ thuật hóa phân tích; Hóa dược.,0,Ngành Cạnh tranh Cao
Công nghệ hóa học gồm 03 chuyên ngành: Công nghệ kỹ thuật hóa học; Kỹ thuật hóa phân tích; Hóa dược. (CT tăng cường TA),0,Ngành Cạnh tranh Cao
Công nghệ hóa thực phẩm,0,Ngành Cạnh tranh Cao
Công nghệ internet vạn vật (IoT),0,Ngành Cạnh tranh Cao
Công nghệ kĩ thuật môi trường,0,Ngành Cạnh tranh Cao
