rule,antecedents,consequents,support,confidence,lift
Cạnh tranh:Thấp + TH:D01 + Xu hướng:Ổn định → Ngành:Kinh tế - Quản trị,Cạnh tranh:Thấp + TH:D01 + Xu hướng:Ổn định,Ngành:Kinh tế - Quản trị,0.0103,0.3005,1.2716
TH:C03 + Xu hướng:Ổn định → Cạnh tranh:Thấp,TH:C03 + Xu hướng:Ổn định,Cạnh tranh:Thấp,0.0123,0.5479,1.2688
TH:A07 → Cạnh tranh:Thấp,TH:A07,Cạnh tranh:Thấp,0.0057,0.5472,1.267
TH:C03 → Cạnh tranh:Thấp + Xu hướng:Ổn định,TH:C03,Cạnh tranh:Thấp + Xu hướng:Ổn định,0.0123,0.3199,1.2595
Cạnh tranh:Cao + TH:A00 → Ngành:Kỹ thuật - Công nghệ,Cạnh tranh:Cao + TH:A00,Ngành:Kỹ thuật - Công nghệ,0.0102,0.3927,1.256
TH:B00 → Ngành:Kỹ thuật - Công nghệ,TH:B00,Ngành:Kỹ thuật - Công nghệ,0.0136,0.3923,1.2546
TH:A01 + Xu hướng:Giảm → Ngành:Kỹ thuật - Công nghệ,TH:A01 + Xu hướng:Giảm,Ngành:Kỹ thuật - Công nghệ,0.0069,0.3916,1.2526
TH:A01 → Ngành:Kỹ thuật - Công nghệ,TH:A01,Ngành:Kỹ thuật - Công nghệ,0.0429,0.3911,1.2508
TH:A01 + Xu hướng:Ổn định → Ngành:Kỹ thuật - Công nghệ,TH:A01 + Xu hướng:Ổn định,Ngành:Kỹ thuật - Công nghệ,0.0248,0.3909,1.2503
Cạnh tranh:Cao + TH:A00 + Xu hướng:Ổn định → Ngành:Kỹ thuật - Công nghệ,Cạnh tranh:Cao + TH:A00 + Xu hướng:Ổn định,Ngành:Kỹ thuật - Công nghệ,0.0057,0.3904,1.2486
TH:C03 → Cạnh tranh:Thấp,TH:C03,Cạnh tranh:Thấp,0.0206,0.5381,1.2459
TH:B00 + Xu hướng:Ổn định → Ngành:Kỹ thuật - Công nghệ,TH:B00 + Xu hướng:Ổn định,Ngành:Kỹ thuật - Công nghệ,0.0077,0.3876,1.2396
Ngành:Kỹ thuật - Công nghệ + TH:D01 + Xu hướng:Ổn định → Cạnh tranh:Thấp,Ngành:Kỹ thuật - Công nghệ + TH:D01 + Xu hướng:Ổn định,Cạnh tranh:Thấp,0.0108,0.5193,1.2024
Cạnh tranh:Cao + TH:A01 + Xu hướng:Ổn định → Ngành:Kỹ thuật - Công nghệ,Cạnh tranh:Cao + TH:A01 + Xu hướng:Ổn định,Ngành:Kỹ thuật - Công nghệ,0.0051,0.3713,1.1876
Ngành:Kỹ thuật - Công nghệ + TH:D01 → Cạnh tranh:Thấp,Ngành:Kỹ thuật - Công nghệ + TH:D01,Cạnh tranh:Thấp,0.0185,0.5125,1.1867
Cạnh tranh:Cao + TH:A01 → Ngành:Kỹ thuật - Công nghệ,Cạnh tranh:Cao + TH:A01,Ngành:Kỹ thuật - Công nghệ,0.0091,0.3694,1.1815
TH:D07 → Ngành:Kỹ thuật - Công nghệ,TH:D07,Ngành:Kỹ thuật - Công nghệ,0.0233,0.3661,1.171
Ngành:Kỹ thuật - Công nghệ + Xu hướng:Giảm → Cạnh tranh:Thấp,Ngành:Kỹ thuật - Công nghệ + Xu hướng:Giảm,Cạnh tranh:Thấp,0.0256,0.5052,1.1698
Cạnh tranh:Trung bình + TH:D07 → Ngành:Kỹ thuật - Công nghệ,Cạnh tranh:Trung bình + TH:D07,Ngành:Kỹ thuật - Công nghệ,0.0071,0.3652,1.168
Ngành:Kinh tế - Quản trị + TH:C01 → Cạnh tranh:Thấp,Ngành:Kinh tế - Quản trị + TH:C01,Cạnh tranh:Thấp,0.006,0.5022,1.1629
Cạnh tranh:Trung bình + Xu hướng:Ổn định → Ngành:Kỹ thuật - Công nghệ,Cạnh tranh:Trung bình + Xu hướng:Ổn định,Ngành:Kỹ thuật - Công nghệ,0.0457,0.3633,1.1619
TH:D07 + Xu hướng:Ổn định → Ngành:Kỹ thuật - Công nghệ,TH:D07 + Xu hướng:Ổn định,Ngành:Kỹ thuật - Công nghệ,0.0132,0.3628,1.1603
Cạnh tranh:Trung bình + Xu hướng:Tăng → Ngành:Kỹ thuật - Công nghệ,Cạnh tranh:Trung bình + Xu hướng:Tăng,Ngành:Kỹ thuật - Công nghệ,0.0089,0.3599,1.1511
Cạnh tranh:Trung bình → Ngành:Kỹ thuật - Công nghệ,Cạnh tranh:Trung bình,Ngành:Kỹ thuật - Công nghệ,0.0818,0.3597,1.1504
Cạnh tranh:Thấp + Xu hướng:Giảm → Ngành:Kỹ thuật - Công nghệ,Cạnh tranh:Thấp + Xu hướng:Giảm,Ngành:Kỹ thuật - Công nghệ,0.0256,0.355,1.1353
TH:D10 + Xu hướng:Ổn định → Cạnh tranh:Thấp,TH:D10 + Xu hướng:Ổn định,Cạnh tranh:Thấp,0.0056,0.4892,1.1328
Ngành:Kỹ thuật - Công nghệ + Xu hướng:Ổn định → Cạnh tranh:Thấp,Ngành:Kỹ thuật - Công nghệ + Xu hướng:Ổn định,Cạnh tranh:Thấp,0.0885,0.4892,1.1326
Ngành:Nghệ thuật - Nhân văn + Xu hướng:Ổn định → Cạnh tranh:Thấp,Ngành:Nghệ thuật - Nhân văn + Xu hướng:Ổn định,Cạnh tranh:Thấp,0.0185,0.4883,1.1306
TH:C00 → Cạnh tranh:Thấp,TH:C00,Cạnh tranh:Thấp,0.0162,0.4879,1.1298
Ngành:Nghệ thuật - Nhân văn + Xu hướng:Giảm → Cạnh tranh:Thấp,Ngành:Nghệ thuật - Nhân văn + Xu hướng:Giảm,Cạnh tranh:Thấp,0.0052,0.4864,1.1264
Cạnh tranh:Cao + TH:D07 → Ngành:Kỹ thuật - Công nghệ,Cạnh tranh:Cao + TH:D07,Ngành:Kỹ thuật - Công nghệ,0.0051,0.3493,1.1173
